"Story","Title","Result","Date","Stability","Duration (s)"
"Cart","View cart that id number is 1","SUCCESS","2023-04-16T11:49:24.1943374+07:00[Asia/Jakarta]","0.0","16.21"
"Cart","View cart with invalid API endpoint","SUCCESS","2023-04-16T11:49:40.4271195+07:00[Asia/Jakarta]","0.0","1.0"
"Login","Successful login with valid credentials","SUCCESS","2023-04-16T11:49:41.4482343+07:00[Asia/Jakarta]","0.0","0.65"
"Login","Failed to login with invalid credentials","SUCCESS","2023-04-16T11:49:42.108521+07:00[Asia/Jakarta]","0.0","1.08"
"Products","View product that id number is 1","SUCCESS","2023-04-16T11:49:43.1969607+07:00[Asia/Jakarta]","0.0","0.81"
"Products","View products with invalid API endpoint","SUCCESS","2023-04-16T11:49:44.0200447+07:00[Asia/Jakarta]","0.0","0.81"
"User","View number 1 user information","SUCCESS","2023-04-16T11:49:44.8396091+07:00[Asia/Jakarta]","0.0","1.01"
"User","View user with invalid API endpoint","SUCCESS","2023-04-16T11:49:45.860942+07:00[Asia/Jakarta]","0.0","0.97"
